web-scraper-order,web-scraper-start-url,category,category-href,item,item-href,name,price,describtion
"1696071434-2","https://petrovich.ru/catalog/1336/","Такелаж","https://petrovich.ru/catalog/21184/","Зажим троса duplex d3 мм (2 шт.)","https://petrovich.ru/catalog/162764799/128384/","Зажим троса duplex d3 мм (2 шт.)","50 ₽","Предназначен для соединения между собой текстильных канатов, веревок и металлических тросов диаметром до 3 мм, а также для изготовления петель."
"1696071438-3","https://petrovich.ru/catalog/1336/","Такелаж","https://petrovich.ru/catalog/21184/","Зажим троса duplex d4 мм","https://petrovich.ru/catalog/162764799/128386/","Зажим троса duplex d4 мм","36 ₽","Предназначен для соединения между собой текстильных канатов, веревок и металлических тросов диаметром до 4 мм, а также для изготовления петель."
"1696071441-1","https://petrovich.ru/catalog/1336/","Такелаж","https://petrovich.ru/catalog/21184/","Талреп крюк-кольцо M10 DIN 1480","https://petrovich.ru/catalog/162764816/128712/","Талреп крюк-кольцо M10 DIN 1480","174 ₽","Предназначен для изменения длины и регулировки натяжения стальных канатов, тросов, цепей и др. Широко используется при установке и креплении мачт и антенн."
"1696071441-4","https://petrovich.ru/catalog/1336/","Такелаж","https://petrovich.ru/catalog/21184/","Трос стальной оцинкованный в оболочке d2-3 мм","https://petrovich.ru/catalog/9949/128722/","Трос стальной оцинкованный в оболочке d2-3 мм","","Предназначен для создания подвесок, растяжек, такелажных устройств не грузового назначения. PVC оболочка защищает трос от коррозии. Состоит из 6 прядей."
"1696071444-2","https://petrovich.ru/catalog/1336/","Такелаж","https://petrovich.ru/catalog/21184/","Зажим троса duplex d3 мм (2 шт.)","https://petrovich.ru/catalog/162764799/128384/","Зажим троса duplex d3 мм (2 шт.)","50 ₽","Предназначен для соединения между собой текстильных канатов, веревок и металлических тросов диаметром до 3 мм, а также для изготовления петель."
"1696071444-5","https://petrovich.ru/catalog/1336/","Такелаж","https://petrovich.ru/catalog/21184/","Зажим троса u-образный d6 мм DIN 741 (2 шт.)","https://petrovich.ru/catalog/162764799/128394/","Зажим троса u-образный d6 мм DIN 741 (2 шт.)","36 ₽","Предназначен для соединения между собой металлических тросов диаметром до 6 мм, а также для изготовления петель."
"1696071447-3","https://petrovich.ru/catalog/1336/","Такелаж","https://petrovich.ru/catalog/21184/","Зажим троса duplex d4 мм","https://petrovich.ru/catalog/162764799/128386/","Зажим троса duplex d4 мм","36 ₽","Предназначен для соединения между собой текстильных канатов, веревок и металлических тросов диаметром до 4 мм, а также для изготовления петель."
"1696071447-6","https://petrovich.ru/catalog/1336/","Такелаж","https://petrovich.ru/catalog/21184/","Трос нержавеющая сталь d3 мм","https://petrovich.ru/catalog/9949/614268/","Трос нержавеющая сталь d3 мм","81 ₽","Предназначен для растяжек, подвесов, ограждений, элементов конструкций в различных механизмах и оборудовании. Правая крестовая свивка 7x7 – аналог DIN 3055."
"1696071450-7","https://petrovich.ru/catalog/1336/","Такелаж","https://petrovich.ru/catalog/21184/","Шпагат ленточный полипропиленовый красный 1200 текс 60 м","https://petrovich.ru/catalog/9950/152621/","Шпагат ленточный полипропиленовый красный 1200 текс 60 м","102 ₽","Предназначен для использования в хозяйственно-бытовых нуждах и в сельском хозяйстве. Широко применяется для изготовления изделий народного промысла, декоративной отделке, производстве мебели, текстильной промышленности, упаковке подарков, рыболовстве и т.п.
В основе шпагата фибрилированная нить. Отсутствие сердечника обеспечивают минимальное относительное удлинение под нагрузкой. Рельефная фактура шпагата делает его более удобным для формирования узлов. Устойчивость к гниению. Не впитывает влагу. Не тонет в воде."
"1696071451-4","https://petrovich.ru/catalog/1336/","Такелаж","https://petrovich.ru/catalog/21184/","Трос стальной оцинкованный в оболочке d2-3 мм","https://petrovich.ru/catalog/9949/128722/","Трос стальной оцинкованный в оболочке d2-3 мм","","Предназначен для создания подвесок, растяжек, такелажных устройств не грузового назначения. PVC оболочка защищает трос от коррозии. Состоит из 6 прядей."
"1696071454-8","https://petrovich.ru/catalog/1336/","Такелаж","https://petrovich.ru/catalog/21184/","Трос стальной оцинкованный d3 мм DIN 3055","https://petrovich.ru/catalog/9949/108406/","Трос стальной оцинкованный d3 мм DIN 3055","","Предназначен для создания подвесок, растяжек, такелажных устройств не грузового назначения. 
Состоит из 6 прядей. Трос не имеет оболочки."
"1696071456-5","https://petrovich.ru/catalog/1336/","Такелаж","https://petrovich.ru/catalog/21184/","Зажим троса u-образный d6 мм DIN 741 (2 шт.)","https://petrovich.ru/catalog/162764799/128394/","Зажим троса u-образный d6 мм DIN 741 (2 шт.)","36 ₽","Предназначен для соединения между собой металлических тросов диаметром до 6 мм, а также для изготовления петель."
"1696071459-9","https://petrovich.ru/catalog/1336/","Такелаж","https://petrovich.ru/catalog/21184/","Шнур плетеный полипропиленовый 48 прядей d14 мм повышенной плотности","https://petrovich.ru/catalog/9950/109434/","Шнур плетеный полипропиленовый 48 прядей d14 мм повышенной плотности","81 ₽","Шнур с сердечником предназначен для использования при подъемных и монтажных работах, транспортировке грузов, в строительстве, судоходстве, быту. Обладает высокой способностью выдерживать ударные нагрузки, прочностью и износостойкостью. Состоит из 48 прядей. В бобине 50 метров.
Использование шнура в проведении альпинистских работ запрещено. Цвет в ассортименте."
"1696071460-6","https://petrovich.ru/catalog/1336/","Такелаж","https://petrovich.ru/catalog/21184/","Трос нержавеющая сталь d3 мм","https://petrovich.ru/catalog/9949/614268/","Трос нержавеющая сталь d3 мм","81 ₽","Предназначен для растяжек, подвесов, ограждений, элементов конструкций в различных механизмах и оборудовании. Правая крестовая свивка 7x7 – аналог DIN 3055."
"1696071464-7","https://petrovich.ru/catalog/1336/","Такелаж","https://petrovich.ru/catalog/21184/","Шпагат ленточный полипропиленовый красный 1200 текс 60 м","https://petrovich.ru/catalog/9950/152621/","Шпагат ленточный полипропиленовый красный 1200 текс 60 м","102 ₽","Предназначен для использования в хозяйственно-бытовых нуждах и в сельском хозяйстве. Широко применяется для изготовления изделий народного промысла, декоративной отделке, производстве мебели, текстильной промышленности, упаковке подарков, рыболовстве и т.п.
В основе шпагата фибрилированная нить. Отсутствие сердечника обеспечивают минимальное относительное удлинение под нагрузкой. Рельефная фактура шпагата делает его более удобным для формирования узлов. Устойчивость к гниению. Не впитывает влагу. Не тонет в воде."
"1696071464-10","https://petrovich.ru/catalog/1336/","Такелаж","https://petrovich.ru/catalog/21184/","Талреп крюк-кольцо M8 DIN 1480","https://petrovich.ru/catalog/162764816/108074/","Талреп крюк-кольцо M8 DIN 1480","90 ₽","Предназначен для изменения длины и регулировки натяжения стальных канатов, тросов, цепей и др. Широко используется при установке и креплении мачт и антенн."
"1696071469-8","https://petrovich.ru/catalog/1336/","Такелаж","https://petrovich.ru/catalog/21184/","Трос стальной оцинкованный d3 мм DIN 3055","https://petrovich.ru/catalog/9949/108406/","Трос стальной оцинкованный d3 мм DIN 3055","","Предназначен для создания подвесок, растяжек, такелажных устройств не грузового назначения. 
Состоит из 6 прядей. Трос не имеет оболочки."
"1696071470-11","https://petrovich.ru/catalog/1336/","Такелаж","https://petrovich.ru/catalog/21184/","Трос стальной оцинкованный в оболочке d3-4 мм (20 м)","https://petrovich.ru/catalog/9949/141524/","Трос стальной оцинкованный в оболочке d3-4 мм (20 м)","402 ₽","Предназначен для создания подвесок, растяжек, такелажных устройств не грузового назначения.  PVC оболочка защищает трос от коррозии. Состоит из 6 прядей."
"1696071473-9","https://petrovich.ru/catalog/1336/","Такелаж","https://petrovich.ru/catalog/21184/","Шнур плетеный полипропиленовый 48 прядей d14 мм повышенной плотности","https://petrovich.ru/catalog/9950/109434/","Шнур плетеный полипропиленовый 48 прядей d14 мм повышенной плотности","81 ₽","Шнур с сердечником предназначен для использования при подъемных и монтажных работах, транспортировке грузов, в строительстве, судоходстве, быту. Обладает высокой способностью выдерживать ударные нагрузки, прочностью и износостойкостью. Состоит из 48 прядей. В бобине 50 метров.
Использование шнура в проведении альпинистских работ запрещено. Цвет в ассортименте."
"1696071475-12","https://petrovich.ru/catalog/1336/","Такелаж","https://petrovich.ru/catalog/21184/","Зажим троса u-образный d3 мм DIN 741 (2 шт.)","https://petrovich.ru/catalog/162764799/128392/","Зажим троса u-образный d3 мм DIN 741 (2 шт.)","27 ₽","Предназначен для соединения между собой металлических тросов диаметром до 3 мм, а также для изготовления петель."
"1696071479-10","https://petrovich.ru/catalog/1336/","Такелаж","https://petrovich.ru/catalog/21184/","Талреп крюк-кольцо M8 DIN 1480","https://petrovich.ru/catalog/162764816/108074/","Талреп крюк-кольцо M8 DIN 1480","90 ₽","Предназначен для изменения длины и регулировки натяжения стальных канатов, тросов, цепей и др. Широко используется при установке и креплении мачт и антенн."
"1696071480-13","https://petrovich.ru/catalog/1336/","Такелаж","https://petrovich.ru/catalog/21184/","Трос стальной оцинкованный в оболочке d3-4 мм","https://petrovich.ru/catalog/9949/128723/","Трос стальной оцинкованный в оболочке d3-4 мм","22 ₽","Предназначен для создания подвесок, растяжек, такелажных устройств не грузового назначения.  PVC оболочка защищает трос от коррозии. Состоит из 6 прядей."
"1696071484-11","https://petrovich.ru/catalog/1336/","Такелаж","https://petrovich.ru/catalog/21184/","Трос стальной оцинкованный в оболочке d3-4 мм (20 м)","https://petrovich.ru/catalog/9949/141524/","Трос стальной оцинкованный в оболочке d3-4 мм (20 м)","402 ₽","Предназначен для создания подвесок, растяжек, такелажных устройств не грузового назначения.  PVC оболочка защищает трос от коррозии. Состоит из 6 прядей."
"1696071484-14","https://petrovich.ru/catalog/1336/","Такелаж","https://petrovich.ru/catalog/21184/","Шнур плетеный полипропиленовый 24 пряди d12 мм повышенной плотности","https://petrovich.ru/catalog/9950/109433/","Шнур плетеный полипропиленовый 24 пряди d12 мм повышенной плотности","67 ₽","Шнур с сердечником предназначен для использования при подъемных и монтажных работах, транспортировке грузов, в строительстве, судоходстве, быту. Обладает высокой способностью выдерживать ударные нагрузки, прочностью и износостойкостью. Состоит из 24 прядей. В бобине 100 метров.
Использование шнура в проведении альпинистских работ запрещено. Цвет в ассортименте."
"1696071489-12","https://petrovich.ru/catalog/1336/","Такелаж","https://petrovich.ru/catalog/21184/","Зажим троса u-образный d3 мм DIN 741 (2 шт.)","https://petrovich.ru/catalog/162764799/128392/","Зажим троса u-образный d3 мм DIN 741 (2 шт.)","27 ₽","Предназначен для соединения между собой металлических тросов диаметром до 3 мм, а также для изготовления петель."
"1696071489-15","https://petrovich.ru/catalog/1336/","Такелаж","https://petrovich.ru/catalog/21184/","Шнур плетеный полипропиленовый 24 пряди d10 мм повышенной плотности","https://petrovich.ru/catalog/9950/109432/","Шнур плетеный полипропиленовый 24 пряди d10 мм повышенной плотности","37 ₽","Шнур с сердечником предназначен для использования при подъемных и монтажных работах, транспортировке грузов, в строительстве, судоходстве, быту. Обладает высокой способностью выдерживать ударные нагрузки, прочностью и износостойкостью. Состоит из 24 прядей. В бобине 50 метров.
Использование шнура в проведении альпинистских работ запрещено. Цвет в ассортименте."
"1696071494-13","https://petrovich.ru/catalog/1336/","Такелаж","https://petrovich.ru/catalog/21184/","Трос стальной оцинкованный в оболочке d3-4 мм","https://petrovich.ru/catalog/9949/128723/","Трос стальной оцинкованный в оболочке d3-4 мм","22 ₽","Предназначен для создания подвесок, растяжек, такелажных устройств не грузового назначения.  PVC оболочка защищает трос от коррозии. Состоит из 6 прядей."
"1696071494-16","https://petrovich.ru/catalog/1336/","Такелаж","https://petrovich.ru/catalog/21184/","Шпагат ленточный полипропиленовый белый 1100 текс 600 м","https://petrovich.ru/catalog/9950/128741/","Шпагат ленточный полипропиленовый белый 1100 текс 600 м","502 ₽","Шпагат без сердечника предназначен для упаковки и обвязки различных мелких и среднегабаритных грузов, коробок, мебели и для других хозяйственных целей.
""Текс""  – единица линейной плотности, применяемая для измерения толщины волокон и нитей. Чем больше данный показатель, тем толще шпагат."
"1696071497-17","https://petrovich.ru/catalog/1336/","Такелаж","https://petrovich.ru/catalog/21184/","Шнур крученый полиамидный 2 пряди белый d2 мм 100 м","https://petrovich.ru/catalog/9950/152614/","Шнур крученый полиамидный 2 пряди белый d2 мм 100 м","183 ₽","Конструкция нити и отсутствие сердечника обеспечивают минимальное относительное удлинение под нагрузкой. Крученая из нескольких прядей состоящих из сотен волокон, конструкция нити обеспечивает высокую износостойкость. Устойчивость к у-ф излучению."
"1696071498-14","https://petrovich.ru/catalog/1336/","Такелаж","https://petrovich.ru/catalog/21184/","Шнур плетеный полипропиленовый 24 пряди d12 мм повышенной плотности","https://petrovich.ru/catalog/9950/109433/","Шнур плетеный полипропиленовый 24 пряди d12 мм повышенной плотности","67 ₽","Шнур с сердечником предназначен для использования при подъемных и монтажных работах, транспортировке грузов, в строительстве, судоходстве, быту. Обладает высокой способностью выдерживать ударные нагрузки, прочностью и износостойкостью. Состоит из 24 прядей. В бобине 100 метров.
Использование шнура в проведении альпинистских работ запрещено. Цвет в ассортименте."
